NAME,CPU %,MEM USAGE / LIMIT / MEM %,NET I/O,BLOCK I/O,STATUS,Date/Time
platform-nginx-1,0.02%,94.05MiB / 1.946GiB / 4.72%,104MB / 82.9MB,76.1MB / 58.2MB,Up,2023-10-17 13:59:26.141160
odoo,0.12%,249.4MiB / 1.946GiB / 12.51%,76.3MB / 137MB,152MB / 319kB,Up,2023-10-17 13:59:26.141160
platform-pgadmin-1,0.04%,115.7MiB / 1.946GiB / 5.81%,48.3kB / 579kB,11.3MB / 12.4MB,Up,2023-10-17 13:59:26.141160
platform-dps-1,0.01%,38.05MiB / 1.946GiB / 1.91%,1.18MB / 1.2MB,30.9MB / 46.9MB,Up,2023-10-17 13:59:26.141160
postgres,0.09%,139.8MiB / 1.946GiB / 7.01%,56.4MB / 70.8MB,104MB / 1.13GB,Up,2023-10-17 13:59:26.141160
ipsec-vpn-server,0.00%,8.18MiB / 1.946GiB / 0.41%,1.38GB / 1.44GB,13.8MB / 135kB,Up,2023-10-17 13:59:26.141160
platform-nginx-1,0.02%,94.05MiB / 1.946GiB / 4.72%,104MB / 82.9MB,76.1MB / 58.2MB,Up,2023-10-17 13:59:29.172481
odoo,0.02%,249.4MiB / 1.946GiB / 12.51%,76.3MB / 137MB,152MB / 319kB,Up,2023-10-17 13:59:29.172481
platform-pgadmin-1,0.04%,115.7MiB / 1.946GiB / 5.81%,48.3kB / 579kB,11.3MB / 12.4MB,Up,2023-10-17 13:59:29.172481
platform-dps-1,0.02%,38.05MiB / 1.946GiB / 1.91%,1.18MB / 1.2MB,30.9MB / 46.9MB,Up,2023-10-17 13:59:29.172481
postgres,0.01%,139.8MiB / 1.946GiB / 7.01%,56.4MB / 70.8MB,104MB / 1.13GB,Up,2023-10-17 13:59:29.172481
ipsec-vpn-server,0.00%,8.18MiB / 1.946GiB / 0.41%,1.38GB / 1.44GB,13.8MB / 135kB,Up,2023-10-17 13:59:29.172481
platform-nginx-1,0.02%,93.25MiB / 1.946GiB / 4.68%,104MB / 82.9MB,77.4MB / 58.2MB,Up,2023-10-17 14:00:39.560777
odoo,0.02%,249.4MiB / 1.946GiB / 12.51%,76.3MB / 137MB,152MB / 319kB,Up,2023-10-17 14:00:39.560777
platform-pgadmin-1,0.05%,115.7MiB / 1.946GiB / 5.81%,48.3kB / 579kB,11.3MB / 12.4MB,Up,2023-10-17 14:00:39.560777
platform-dps-1,0.01%,38.05MiB / 1.946GiB / 1.91%,1.18MB / 1.2MB,30.9MB / 46.9MB,Up,2023-10-17 14:00:39.560777
postgres,0.00%,139.8MiB / 1.946GiB / 7.01%,56.4MB / 70.8MB,104MB / 1.13GB,Up,2023-10-17 14:00:39.560777
ipsec-vpn-server,0.02%,7.883MiB / 1.946GiB / 0.40%,1.38GB / 1.44GB,13.8MB / 135kB,Up,2023-10-17 14:00:39.560777
platform-nginx-1,0.02%,93.27MiB / 1.946GiB / 4.68%,104MB / 82.9MB,77.4MB / 58.2MB,Up,2023-10-17 14:01:39.561565
odoo,0.02%,249.4MiB / 1.946GiB / 12.51%,76.3MB / 137MB,152MB / 319kB,Up,2023-10-17 14:01:39.561565
platform-pgadmin-1,0.06%,115.7MiB / 1.946GiB / 5.81%,48.3kB / 579kB,11.3MB / 12.4MB,Up,2023-10-17 14:01:39.561565
platform-dps-1,0.01%,38.05MiB / 1.946GiB / 1.91%,1.18MB / 1.2MB,30.9MB / 46.9MB,Up,2023-10-17 14:01:39.561565
postgres,0.00%,139.8MiB / 1.946GiB / 7.01%,56.4MB / 70.8MB,104MB / 1.13GB,Up,2023-10-17 14:01:39.561565
ipsec-vpn-server,0.02%,7.848MiB / 1.946GiB / 0.39%,1.38GB / 1.44GB,13.8MB / 135kB,Up,2023-10-17 14:01:39.561565
platform-nginx-1,0.02%,93.3MiB / 1.946GiB / 4.68%,104MB / 82.9MB,77.4MB / 58.2MB,Up,2023-10-17 14:02:39.565657
odoo,0.02%,249.4MiB / 1.946GiB / 12.51%,76.3MB / 137MB,152MB / 319kB,Up,2023-10-17 14:02:39.565657
platform-pgadmin-1,0.04%,115.7MiB / 1.946GiB / 5.81%,48.3kB / 579kB,11.3MB / 12.4MB,Up,2023-10-17 14:02:39.565657
platform-dps-1,0.01%,38.05MiB / 1.946GiB / 1.91%,1.18MB / 1.2MB,30.9MB / 46.9MB,Up,2023-10-17 14:02:39.565657
